stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening E:\_____VisualStudio_Projects\GameFromScratch\Allegro_Project\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.18252] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18254] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18256] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18259] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18261] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18265] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18267] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18270] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18272] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18274] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18277] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18279] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18282] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18284] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18287] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18289] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18291] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18295] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18298] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18302] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18305] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
